Date;Titre;Description;Note;duration;
06/06/2019;Lune;Lune au Perigee;12;5;
07/06/2019;Lune;Lune au Perigee;12;;
08/06/2019;Lune;Lune au Perigee;12;;
09/06/2019;Lune;Lune au Perigee;12;;
10/06/2019;Lune;Lune au Perigee;12;;
27/05/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;29;
28/05/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
29/05/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
30/05/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
31/05/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
01/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
02/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
03/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
04/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
05/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
06/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
07/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
08/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
09/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
10/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
11/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
12/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
13/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
14/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
15/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
16/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
17/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
18/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
19/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
20/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
21/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
22/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
23/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
24/06/2019;Jupiter;opposition de Jupiter avec le soleil. C'est la meilleure periode pour l'observer.;20;;
10/06/2019;Asteroide;Opposition de l'asteroide 410 Chloris avec le Soleil;5;5;
11/06/2019;Asteroide;Opposition de l'asteroide 410 Chloris avec le Soleil;5;;
12/06/2019;Asteroide;Opposition de l'asteroide 410 Chloris avec le Soleil;5;;
13/06/2019;Asteroide;Opposition de l'asteroide 410 Chloris avec le Soleil;5;;
14/06/2019;Asteroide;Opposition de l'asteroide 410 Chloris avec le Soleil;5;;
15/06/2019;Etoile;Minimum de l'Etoile variable Algol (beta de Persee);5;3;
16/06/2019;Etoile;Minimum de l'Etoile variable Algol (beta de Persee);5;;
17/06/2019;Etoile;Minimum de l'Etoile variable Algol (beta de Persee);5;;
15/06/2019;Venus;Rapprochement entre Venus et Aldebaran;10;4;
16/06/2019;Venus;Rapprochement entre Venus et Aldebaran;10;;
17/06/2019;Venus;Rapprochement entre Venus et Aldebaran;10;;
18/06/2019;Venus;Rapprochement entre Venus et Aldebaran;10;;
19/06/2019;Venus;Rapprochement entre Venus et Aldebaran;10;;
16/06/2019;Mars;Mars et Mercure sont blotties l'une contre l'autre. Belle conjonction a observer au crepuscule.;16;4;
17/06/2019;Mars;Mars et Mercure sont blotties l'une contre l'autre. Belle conjonction a observer au crepuscule.;16;;
18/06/2019;Mars;Mars et Mercure sont blotties l'une contre l'autre. Belle conjonction a observer au crepuscule.;16;;
19/06/2019;Mars;Mars et Mercure sont blotties l'une contre l'autre. Belle conjonction a observer au crepuscule.;16;;
25/06/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;29;
26/06/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
27/06/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
28/06/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
29/06/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
30/06/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
01/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
02/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
03/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
04/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
05/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
06/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
07/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
08/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
09/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
10/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
11/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
12/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
13/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
14/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
15/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
16/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
17/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
18/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
19/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
20/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
21/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
22/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
23/07/2019;Saturn;opposition de Saturne. C'est le meilleur moment pour l'observer.;20;;
16/07/2019;Lune;eclipse partielle de Lune. Le phenomene qui assombrira environ 65 % de la Lune se deroulera 50 ans, jour pour jour, apres le lancement historique d'Apollo 11. Il sera visible en Europe, en Afrique, en Asie du Sud et en Australie.;16;1;
11/08/2019;Etoile;pic d'activite des Perseides, l'une des plus belles et actives pluies d'etoiles filantes de l'annee.;20;5;
12/08/2019;Etoile;pic d'activite des Perseides, l'une des plus belles et actives pluies d'etoiles filantes de l'annee.;20;;
13/08/2019;Etoile;pic d'activite des Perseides, l'une des plus belles et actives pluies d'etoiles filantes de l'annee.;20;;
